locations,count,rate,date,lat,lon
Los Angeles - Vernon Central,21,38.8,2020-04-05T00:00:00Z,34.003903,-118.230073
Los Angeles - Victoria Park,11,128.38,2020-04-05T00:00:00Z,34.0470219,-118.3319176
Los Angeles - View Heights,NA,NA,2020-04-05T00:00:00Z,33.9843537,-118.3476559
Los Angeles - Watts,15,34.16,2020-04-05T00:00:00Z,33.9386361,-118.2380432
Los Angeles - Wellington Square,0,0,2020-04-05T00:00:00Z,34.0391736,-118.3342874
Los Angeles - West Adams,21,74.68,2020-04-05T00:00:00Z,34.0324983,-118.362691
Los Angeles - West Hills,18,46,2020-04-05T00:00:00Z,34.1973122,-118.6439809
Los Angeles - West Los Angeles,29,77.35,2020-04-05T00:00:00Z,34.0412085,-118.442596
Los Angeles - West Vernon,27,49.72,2020-04-05T00:00:00Z,34.0037171,-118.3034631
Los Angeles - Westchester,24,47.25,2020-04-05T00:00:00Z,33.9625905,-118.3987842
Los Angeles - Westlake,31,52.83,2020-04-05T00:00:00Z,34.0580432,-118.2731269
Los Angeles - Westwood,27,49.61,2020-04-05T00:00:00Z,34.0635016,-118.4455164
Los Angeles - Wholesale District,12,31.42,2020-04-05T00:00:00Z,34.0418947,-118.2326448
Los Angeles - Wilmington,19,33.17,2020-04-05T00:00:00Z,33.7857948,-118.2643567
Los Angeles - Wilshire Center,23,44.69,2020-04-05T00:00:00Z,34.0653805,-118.3003689
Los Angeles - Winnetka,29,56.82,2020-04-05T00:00:00Z,34.2048586,-118.5739621
Los Angeles - Woodland Hills,47,72.82,2020-04-05T00:00:00Z,34.165357,-118.6089752
Unincorporated - Acton,NA,NA,2020-04-05T00:00:00Z,34.469994,-118.1967418
Unincorporated - Agua Dulce,NA,NA,2020-04-05T00:00:00Z,34.4963817,-118.3256348
Unincorporated - Altadena,25,58.87,2020-04-05T00:00:00Z,34.197528,-118.159229
Unincorporated - Anaverde,0,0,2020-04-05T00:00:00Z,34.5532566,-118.1520359
Unincorporated - Angeles National Forest,0,0,2020-04-05T00:00:00Z,34.3166567,-118.0057775
Unincorporated - Arcadia,0,0,2020-04-05T00:00:00Z,34.1397292,-118.0353449
Unincorporated - Athens-Westmont,22,52.83,2020-04-05T00:00:00Z,33.9399781,-118.3046915
Unincorporated - Athens Village,NA,NA,2020-04-05T00:00:00Z,33.9200153,-118.2811844
Unincorporated - Avocado Heights,0,0,2020-04-05T00:00:00Z,34.0361217,-117.9911765
Unincorporated - Azusa,NA,NA,2020-04-05T00:00:00Z,34.1336186,-117.9075627
Unincorporated - Bassett,NA,NA,2020-04-05T00:00:00Z,34.0538921,-117.9867619
Unincorporated - Bouquet Canyon,0,0,2020-04-05T00:00:00Z,34.524126,-118.4414399
Unincorporated - Bradbury,0,0,2020-04-05T00:00:00Z,34.1469511,-117.9708982
Unincorporated - Canyon Country,8,113.01,2020-04-05T00:00:00Z,34.0558519,-118.244254
Unincorporated - Castaic,5,17.65,2020-04-05T00:00:00Z,34.442036,-118.610512
Unincorporated - Cerritos,0,0,2020-04-05T00:00:00Z,33.8583483,-118.0647871
Unincorporated - Claremont,0,0,2020-04-05T00:00:00Z,34.0966764,-117.7197785
Unincorporated - Covina,10,59.92,2020-04-05T00:00:00Z,34.0900091,-117.8903397
Unincorporated - Covina (Charter Oak),NA,NA,2020-04-05T00:00:00Z,34.099440800000004,-117.8463974
Unincorporated - Del Aire,NA,NA,2020-04-05T00:00:00Z,33.9161251,-118.3695196
Unincorporated - Del Rey,0,0,2020-04-05T00:00:00Z,33.9859958,-118.4249118
Unincorporated - Del Sur,0,0,2020-04-05T00:00:00Z,34.0920367,-118.3090354
Unincorporated - Desert View Highlands,0,0,2020-04-05T00:00:00Z,34.5908225,-118.1525735
Unincorporated - Duarte,0,0,2020-04-05T00:00:00Z,34.1394513,-117.9772873
Unincorporated - East Covina,0,0,2020-04-05T00:00:00Z,34.1042851,-117.8643359
Unincorporated - East La Mirada,NA,NA,2020-04-05T00:00:00Z,33.9244577,-117.9889525
Unincorporated - East Lancaster,0,0,2020-04-05T00:00:00Z,34.6867846,-118.1541632
Unincorporated - East Los Angeles,44,34.65,2020-04-05T00:00:00Z,34.0224417,-118.1669736
Unincorporated - East Pasadena,0,0,2020-04-05T00:00:00Z,34.1382378,-118.0742249
Unincorporated - East Rancho Dominguez,6,37.24,2020-04-05T00:00:00Z,33.8962011,-118.1933729
Unincorporated - East Whittier,NA,NA,2020-04-05T00:00:00Z,33.9244577,-117.9889525
Unincorporated - El Camino Village,NA,NA,2020-04-05T00:00:00Z,33.8894595,-118.3309073
Unincorporated - El Monte,0,0,2020-04-05T00:00:00Z,34.0686206,-118.0275667
Unincorporated - Elizabeth Lake,0,0,2020-04-05T00:00:00Z,34.6598339,-118.3920165
Unincorporated - Florence-Firestone,35,53.21,2020-04-05T00:00:00Z,33.9475714,-118.253333
Unincorporated - Glendora,0,0,2020-04-05T00:00:00Z,34.1361187,-117.865339
Unincorporated - Hacienda Heights,17,31.12,2020-04-05T00:00:00Z,33.9930677,-117.9686755
Unincorporated - Hawthorne,NA,NA,2020-04-05T00:00:00Z,33.9164032,-118.3525748
Unincorporated - Hi Vista,0,0,2020-04-05T00:00:00Z,34.734986,-117.777285
Unincorporated - Kagel/Lopez Canyons,0,0,2020-04-05T00:00:00Z,34.3005529,-118.3760984
Unincorporated - La Crescenta-Montrose,5,25.3,2020-04-05T00:00:00Z,34.228754,-118.2351192
Unincorporated - La Habra Heights,0,0,2020-04-05T00:00:00Z,33.9608461,-117.9506186
Unincorporated - La Rambla,NA,NA,2020-04-05T00:00:00Z,34.0522342,-118.2436849
Unincorporated - La Verne,NA,NA,2020-04-05T00:00:00Z,34.1008426,-117.7678355
Unincorporated - Ladera Heights,10,168.35,2020-04-05T00:00:00Z,33.9877762,-118.3703703
Unincorporated - Lake Hughes,0,0,2020-04-05T00:00:00Z,34.6773324,-118.4525466
Unincorporated - Lake Los Angeles,NA,NA,2020-04-05T00:00:00Z,34.6124905,-117.8281193
Unincorporated - Lake Manor,NA,NA,2020-04-05T00:00:00Z,34.2381536,-118.6377042
Unincorporated - Lakewood,0,0,2020-04-05T00:00:00Z,33.8529735,-118.1613914
Unincorporated - Lennox,15,63.6,2020-04-05T00:00:00Z,33.9380695,-118.3525752
Unincorporated - Leona Valley,0,0,2020-04-05T00:00:00Z,34.618321,-118.288133
Unincorporated - Littlerock,0,0,2020-04-05T00:00:00Z,34.521104,-117.9836793
Unincorporated - Littlerock/Juniper Hills,0,0,2020-04-05T00:00:00Z,34.4441629,-117.9353438
Unincorporated - Littlerock/Pearblossom,NA,NA,2020-04-05T00:00:00Z,34.521104,-117.9836793
Unincorporated - Llano,0,0,2020-04-05T00:00:00Z,34.5058282,-117.8178409
Unincorporated - Long Beach,0,0,2020-04-05T00:00:00Z,33.7700504,-118.1937395
Unincorporated - Marina del Rey,5,54.51,2020-04-05T00:00:00Z,33.9802893,-118.4517449
Unincorporated - Monrovia,NA,NA,2020-04-05T00:00:00Z,34.1442616,-118.0019482
Unincorporated - Newhall,0,0,2020-04-05T00:00:00Z,34.3916641,-118.542586
Unincorporated - North Lancaster,0,0,2020-04-05T00:00:00Z,34.6867846,-118.1541632
